htn	hypertension
abbr1301	clinical expansion term 1301
abbr1302	clinical expansion term 1302
abbr1303	clinical expansion term 1303
abbr1304	clinical expansion term 1304
abbr1305	clinical expansion term 1305
abbr1306	clinical expansion term 1306
abbr1307	clinical expansion term 1307
abbr1308	clinical expansion term 1308
abbr1309	clinical expansion term 1309
abbr1310	clinical expansion term 1310
abbr1311	clinical expansion term 1311
abbr1312	clinical expansion term 1312
abbr1313	clinical expansion term 1313
abbr1314	clinical expansion term 1314
abbr1315	clinical expansion term 1315
abbr1316	clinical expansion term 1316
abbr1317	clinical expansion term 1317
abbr1318	clinical expansion term 1318
abbr1319	clinical expansion term 1319
abbr1320	clinical expansion term 1320
abbr1321	clinical expansion term 1321
abbr1322	clinical expansion term 1322
abbr1323	clinical expansion term 1323
abbr1324	clinical expansion term 1324
abbr1325	clinical expansion term 1325
abbr1326	clinical expansion term 1326
abbr1327	clinical expansion term 1327
abbr1328	clinical expansion term 1328
abbr1329	clinical expansion term 1329
abbr1330	clinical expansion term 1330
abbr1331	clinical expansion term 1331
abbr1332	clinical expansion term 1332
abbr1333	clinical expansion term 1333
abbr1334	clinical expansion term 1334
abbr1335	clinical expansion term 1335
abbr1336	clinical expansion term 1336
abbr1337	clinical expansion term 1337
abbr1338	clinical expansion term 1338
abbr1339	clinical expansion term 1339
abbr1340	clinical expansion term 1340
abbr1341	clinical expansion term 1341
abbr1342	clinical expansion term 1342
abbr1343	clinical expansion term 1343
abbr1344	clinical expansion term 1344
abbr1345	clinical expansion term 1345
abbr1346	clinical expansion term 1346
abbr1347	clinical expansion term 1347
abbr1348	clinical expansion term 1348
abbr1349	clinical expansion term 1349
abbr1350	clinical expansion term 1350
abbr1351	clinical expansion term 1351
abbr1352	clinical expansion term 1352
abbr1353	clinical expansion term 1353
abbr1354	clinical expansion term 1354
abbr1355	clinical expansion term 1355
abbr1356	clinical expansion term 1356
abbr1357	clinical expansion term 1357
abbr1358	clinical expansion term 1358
abbr1359	clinical expansion term 1359
abbr1360	clinical expansion term 1360
abbr1361	clinical expansion term 1361
abbr1362	clinical expansion term 1362
abbr1363	clinical expansion term 1363
abbr1364	clinical expansion term 1364
abbr1365	clinical expansion term 1365
abbr1366	clinical expansion term 1366
abbr1367	clinical expansion term 1367
abbr1368	clinical expansion term 1368
abbr1369	clinical expansion term 1369
abbr1370	clinical expansion term 1370
abbr1371	clinical expansion term 1371
abbr1372	clinical expansion term 1372
abbr1373	clinical expansion term 1373
abbr1374	clinical expansion term 1374
abbr1375	clinical expansion term 1375
abbr1376	clinical expansion term 1376
abbr1377	clinical expansion term 1377
abbr1378	clinical expansion term 1378
abbr1379	clinical expansion term 1379
abbr1380	clinical expansion term 1380
abbr1381	clinical expansion term 1381
abbr1382	clinical expansion term 1382
abbr1383	clinical expansion term 1383
abbr1384	clinical expansion term 1384
abbr1385	clinical expansion term 1385
abbr1386	clinical expansion term 1386
abbr1387	clinical expansion term 1387
abbr1388	clinical expansion term 1388
abbr1389	clinical expansion term 1389
abbr1390	clinical expansion term 1390
abbr1391	clinical expansion term 1391
abbr1392	clinical expansion term 1392
abbr1393	clinical expansion term 1393
abbr1394	clinical expansion term 1394
abbr1395	clinical expansion term 1395
abbr1396	clinical expansion term 1396
abbr1397	clinical expansion term 1397
abbr1398	clinical expansion term 1398
abbr1399	clinical expansion term 1399
abbr1400	clinical expansion term 1400
abbr1401	clinical expansion term 1401
abbr1402	clinical expansion term 1402
abbr1403	clinical expansion term 1403
abbr1404	clinical expansion term 1404
abbr1405	clinical expansion term 1405
abbr1406	clinical expansion term 1406
abbr1407	clinical expansion term 1407
abbr1408	clinical expansion term 1408
abbr1409	clinical expansion term 1409
abbr1410	clinical expansion term 1410
abbr1411	clinical expansion term 1411
abbr1412	clinical expansion term 1412
abbr1413	clinical expansion term 1413
abbr1414	clinical expansion term 1414
abbr1415	clinical expansion term 1415
abbr1416	clinical expansion term 1416
abbr1417	clinical expansion term 1417
abbr1418	clinical expansion term 1418
abbr1419	clinical expansion term 1419
abbr1420	clinical expansion term 1420
abbr1421	clinical expansion term 1421
abbr1422	clinical expansion term 1422
abbr1423	clinical expansion term 1423
abbr1424	clinical expansion term 1424
abbr1425	clinical expansion term 1425
abbr1426	clinical expansion term 1426
abbr1427	clinical expansion term 1427
abbr1428	clinical expansion term 1428
abbr1429	clinical expansion term 1429
abbr1430	clinical expansion term 1430
abbr1431	clinical expansion term 1431
abbr1432	clinical expansion term 1432
abbr1433	clinical expansion term 1433
abbr1434	clinical expansion term 1434
abbr1435	clinical expansion term 1435
abbr1436	clinical expansion term 1436
abbr1437	clinical expansion term 1437
abbr1438	clinical expansion term 1438
abbr1439	clinical expansion term 1439
abbr1440	clinical expansion term 1440
abbr1441	clinical expansion term 1441
abbr1442	clinical expansion term 1442
abbr1443	clinical expansion term 1443
abbr1444	clinical expansion term 1444
abbr1445	clinical expansion term 1445
abbr1446	clinical expansion term 1446
abbr1447	clinical expansion term 1447
abbr1448	clinical expansion term 1448
abbr1449	clinical expansion term 1449
abbr1450	clinical expansion term 1450
abbr1451	clinical expansion term 1451
abbr1452	clinical expansion term 1452
abbr1453	clinical expansion term 1453
abbr1454	clinical expansion term 1454
abbr1455	clinical expansion term 1455
abbr1456	clinical expansion term 1456
abbr1457	clinical expansion term 1457
abbr1458	clinical expansion term 1458
abbr1459	clinical expansion term 1459
abbr1460	clinical expansion term 1460
abbr1461	clinical expansion term 1461
abbr1462	clinical expansion term 1462
abbr1463	clinical expansion term 1463
abbr1464	clinical expansion term 1464
abbr1465	clinical expansion term 1465
abbr1466	clinical expansion term 1466
abbr1467	clinical expansion term 1467
abbr1468	clinical expansion term 1468
abbr1469	clinical expansion term 1469
abbr1470	clinical expansion term 1470
abbr1471	clinical expansion term 1471
abbr1472	clinical expansion term 1472
abbr1473	clinical expansion term 1473
abbr1474	clinical expansion term 1474
abbr1475	clinical expansion term 1475
abbr1476	clinical expansion term 1476
abbr1477	clinical expansion term 1477
abbr1478	clinical expansion term 1478
abbr1479	clinical expansion term 1479
abbr1480	clinical expansion term 1480
abbr1481	clinical expansion term 1481
abbr1482	clinical expansion term 1482
abbr1483	clinical expansion term 1483
abbr1484	clinical expansion term 1484
abbr1485	clinical expansion term 1485
abbr1486	clinical expansion term 1486
abbr1487	clinical expansion term 1487
abbr1488	clinical expansion term 1488
abbr1489	clinical expansion term 1489
abbr1490	clinical expansion term 1490
abbr1491	clinical expansion term 1491
abbr1492	clinical expansion term 1492
abbr1493	clinical expansion term 1493
abbr1494	clinical expansion term 1494
abbr1495	clinical expansion term 1495
abbr1496	clinical expansion term 1496
abbr1497	clinical expansion term 1497
abbr1498	clinical expansion term 1498
abbr1499	clinical expansion term 1499
abbr1500	clinical expansion term 1500
abbr1501	clinical expansion term 1501
abbr1502	clinical expansion term 1502
abbr1503	clinical expansion term 1503
abbr1504	clinical expansion term 1504
abbr1505	clinical expansion term 1505
abbr1506	clinical expansion term 1506
abbr1507	clinical expansion term 1507
abbr1508	clinical expansion term 1508
abbr1509	clinical expansion term 1509
abbr1510	clinical expansion term 1510
abbr1511	clinical expansion term 1511
abbr1512	clinical expansion term 1512
abbr1513	clinical expansion term 1513
abbr1514	clinical expansion term 1514
abbr1515	clinical expansion term 1515
abbr1516	clinical expansion term 1516
abbr1517	clinical expansion term 1517
abbr1518	clinical expansion term 1518
abbr1519	clinical expansion term 1519
abbr1520	clinical expansion term 1520
abbr1521	clinical expansion term 1521
abbr1522	clinical expansion term 1522
abbr1523	clinical expansion term 1523
abbr1524	clinical expansion term 1524
abbr1525	clinical expansion term 1525
abbr1526	clinical expansion term 1526
abbr1527	clinical expansion term 1527
abbr1528	clinical expansion term 1528
abbr1529	clinical expansion term 1529
abbr1530	clinical expansion term 1530
abbr1531	clinical expansion term 1531
abbr1532	clinical expansion term 1532
abbr1533	clinical expansion term 1533
abbr1534	clinical expansion term 1534
abbr1535	clinical expansion term 1535
abbr1536	clinical expansion term 1536
abbr1537	clinical expansion term 1537
abbr1538	clinical expansion term 1538
abbr1539	clinical expansion term 1539
abbr1540	clinical expansion term 1540
abbr1541	clinical expansion term 1541
abbr1542	clinical expansion term 1542
abbr1543	clinical expansion term 1543
abbr1544	clinical expansion term 1544
abbr1545	clinical expansion term 1545
abbr1546	clinical expansion term 1546
abbr1547	clinical expansion term 1547
abbr1548	clinical expansion term 1548
abbr1549	clinical expansion term 1549
abbr1550	clinical expansion term 1550
abbr1551	clinical expansion term 1551
abbr1552	clinical expansion term 1552
abbr1553	clinical expansion term 1553
abbr1554	clinical expansion term 1554
abbr1555	clinical expansion term 1555
abbr1556	clinical expansion term 1556
abbr1557	clinical expansion term 1557
abbr1558	clinical expansion term 1558
abbr1559	clinical expansion term 1559
abbr1560	clinical expansion term 1560
abbr1561	clinical expansion term 1561
abbr1562	clinical expansion term 1562
abbr1563	clinical expansion term 1563
abbr1564	clinical expansion term 1564
abbr1565	clinical expansion term 1565
abbr1566	clinical expansion term 1566
abbr1567	clinical expansion term 1567
abbr1568	clinical expansion term 1568
abbr1569	clinical expansion term 1569
abbr1570	clinical expansion term 1570
abbr1571	clinical expansion term 1571
abbr1572	clinical expansion term 1572
abbr1573	clinical expansion term 1573
abbr1574	clinical expansion term 1574
abbr1575	clinical expansion term 1575
abbr1576	clinical expansion term 1576
abbr1577	clinical expansion term 1577
abbr1578	clinical expansion term 1578
abbr1579	clinical expansion term 1579
abbr1580	clinical expansion term 1580
abbr1581	clinical expansion term 1581
abbr1582	clinical expansion term 1582
abbr1583	clinical expansion term 1583
abbr1584	clinical expansion term 1584
abbr1585	clinical expansion term 1585
abbr1586	clinical expansion term 1586
abbr1587	clinical expansion term 1587
abbr1588	clinical expansion term 1588
abbr1589	clinical expansion term 1589
abbr1590	clinical expansion term 1590
abbr1591	clinical expansion term 1591
abbr1592	clinical expansion term 1592
abbr1593	clinical expansion term 1593
abbr1594	clinical expansion term 1594
abbr1595	clinical expansion term 1595
abbr1596	clinical expansion term 1596
abbr1597	clinical expansion term 1597
abbr1598	clinical expansion term 1598
abbr1599	clinical expansion term 1599
abbr1600	clinical expansion term 1600
abbr1601	clinical expansion term 1601
abbr1602	clinical expansion term 1602
abbr1603	clinical expansion term 1603
abbr1604	clinical expansion term 1604
abbr1605	clinical expansion term 1605
abbr1606	clinical expansion term 1606
abbr1607	clinical expansion term 1607
abbr1608	clinical expansion term 1608
abbr1609	clinical expansion term 1609
abbr1610	clinical expansion term 1610
abbr1611	clinical expansion term 1611
abbr1612	clinical expansion term 1612
abbr1613	clinical expansion term 1613
abbr1614	clinical expansion term 1614
abbr1615	clinical expansion term 1615
abbr1616	clinical expansion term 1616
abbr1617	clinical expansion term 1617
abbr1618	clinical expansion term 1618
abbr1619	clinical expansion term 1619
abbr1620	clinical expansion term 1620
abbr1621	clinical expansion term 1621
abbr1622	clinical expansion term 1622
abbr1623	clinical expansion term 1623
abbr1624	clinical expansion term 1624
abbr1625	clinical expansion term 1625
abbr1626	clinical expansion term 1626
abbr1627	clinical expansion term 1627
abbr1628	clinical expansion term 1628
abbr1629	clinical expansion term 1629
abbr1630	clinical expansion term 1630
abbr1631	clinical expansion term 1631
abbr1632	clinical expansion term 1632
abbr1633	clinical expansion term 1633
abbr1634	clinical expansion term 1634
abbr1635	clinical expansion term 1635
abbr1636	clinical expansion term 1636
abbr1637	clinical expansion term 1637
abbr1638	clinical expansion term 1638
abbr1639	clinical expansion term 1639
abbr1640	clinical expansion term 1640
abbr1641	clinical expansion term 1641
abbr1642	clinical expansion term 1642
abbr1643	clinical expansion term 1643
abbr1644	clinical expansion term 1644
abbr1645	clinical expansion term 1645
abbr1646	clinical expansion term 1646
abbr1647	clinical expansion term 1647
abbr1648	clinical expansion term 1648
abbr1649	clinical expansion term 1649
abbr1650	clinical expansion term 1650
abbr1651	clinical expansion term 1651
abbr1652	clinical expansion term 1652
abbr1653	clinical expansion term 1653
abbr1654	clinical expansion term 1654
abbr1655	clinical expansion term 1655
abbr1656	clinical expansion term 1656
abbr1657	clinical expansion term 1657
abbr1658	clinical expansion term 1658
abbr1659	clinical expansion term 1659
abbr1660	clinical expansion term 1660
abbr1661	clinical expansion term 1661
abbr1662	clinical expansion term 1662
abbr1663	clinical expansion term 1663
abbr1664	clinical expansion term 1664
abbr1665	clinical expansion term 1665
abbr1666	clinical expansion term 1666
abbr1667	clinical expansion term 1667
abbr1668	clinical expansion term 1668
abbr1669	clinical expansion term 1669
abbr1670	clinical expansion term 1670
abbr1671	clinical expansion term 1671
abbr1672	clinical expansion term 1672
abbr1673	clinical expansion term 1673
abbr1674	clinical expansion term 1674
abbr1675	clinical expansion term 1675
abbr1676	clinical expansion term 1676
abbr1677	clinical expansion term 1677
abbr1678	clinical expansion term 1678
abbr1679	clinical expansion term 1679
abbr1680	clinical expansion term 1680
abbr1681	clinical expansion term 1681
abbr1682	clinical expansion term 1682
abbr1683	clinical expansion term 1683
abbr1684	clinical expansion term 1684
abbr1685	clinical expansion term 1685
abbr1686	clinical expansion term 1686
abbr1687	clinical expansion term 1687
abbr1688	clinical expansion term 1688
abbr1689	clinical expansion term 1689
abbr1690	clinical expansion term 1690
abbr1691	clinical expansion term 1691
abbr1692	clinical expansion term 1692
abbr1693	clinical expansion term 1693
abbr1694	clinical expansion term 1694
abbr1695	clinical expansion term 1695
abbr1696	clinical expansion term 1696
abbr1697	clinical expansion term 1697
abbr1698	clinical expansion term 1698
abbr1699	clinical expansion term 1699
abbr1700	clinical expansion term 1700
abbr1701	clinical expansion term 1701
abbr1702	clinical expansion term 1702
abbr1703	clinical expansion term 1703
abbr1704	clinical expansion term 1704
abbr1705	clinical expansion term 1705
abbr1706	clinical expansion term 1706
abbr1707	clinical expansion term 1707
abbr1708	clinical expansion term 1708
abbr1709	clinical expansion term 1709
abbr1710	clinical expansion term 1710
abbr1711	clinical expansion term 1711
abbr1712	clinical expansion term 1712
abbr1713	clinical expansion term 1713
abbr1714	clinical expansion term 1714
abbr1715	clinical expansion term 1715
abbr1716	clinical expansion term 1716
abbr1717	clinical expansion term 1717
abbr1718	clinical expansion term 1718
abbr1719	clinical expansion term 1719
abbr1720	clinical expansion term 1720
abbr1721	clinical expansion term 1721
abbr1722	clinical expansion term 1722
abbr1723	clinical expansion term 1723
abbr1724	clinical expansion term 1724
abbr1725	clinical expansion term 1725
abbr1726	clinical expansion term 1726
abbr1727	clinical expansion term 1727
abbr1728	clinical expansion term 1728
abbr1729	clinical expansion term 1729
abbr1730	clinical expansion term 1730
abbr1731	clinical expansion term 1731
abbr1732	clinical expansion term 1732
abbr1733	clinical expansion term 1733
abbr1734	clinical expansion term 1734
abbr1735	clinical expansion term 1735
abbr1736	clinical expansion term 1736
abbr1737	clinical expansion term 1737
abbr1738	clinical expansion term 1738
abbr1739	clinical expansion term 1739
abbr1740	clinical expansion term 1740
abbr1741	clinical expansion term 1741
abbr1742	clinical expansion term 1742
abbr1743	clinical expansion term 1743
abbr1744	clinical expansion term 1744
abbr1745	clinical expansion term 1745
abbr1746	clinical expansion term 1746
abbr1747	clinical expansion term 1747
abbr1748	clinical expansion term 1748
abbr1749	clinical expansion term 1749
abbr1750	clinical expansion term 1750
abbr1751	clinical expansion term 1751
abbr1752	clinical expansion term 1752
abbr1753	clinical expansion term 1753
abbr1754	clinical expansion term 1754
abbr1755	clinical expansion term 1755
abbr1756	clinical expansion term 1756
abbr1757	clinical expansion term 1757
abbr1758	clinical expansion term 1758
abbr1759	clinical expansion term 1759
abbr1760	clinical expansion term 1760
abbr1761	clinical expansion term 1761
abbr1762	clinical expansion term 1762
abbr1763	clinical expansion term 1763
abbr1764	clinical expansion term 1764
abbr1765	clinical expansion term 1765
abbr1766	clinical expansion term 1766
abbr1767	clinical expansion term 1767
abbr1768	clinical expansion term 1768
abbr1769	clinical expansion term 1769
abbr1770	clinical expansion term 1770
abbr1771	clinical expansion term 1771
abbr1772	clinical expansion term 1772
abbr1773	clinical expansion term 1773
abbr1774	clinical expansion term 1774
abbr1775	clinical expansion term 1775
abbr1776	clinical expansion term 1776
abbr1777	clinical expansion term 1777
abbr1778	clinical expansion term 1778
abbr1779	clinical expansion term 1779
abbr1780	clinical expansion term 1780
abbr1781	clinical expansion term 1781
abbr1782	clinical expansion term 1782
abbr1783	clinical expansion term 1783
abbr1784	clinical expansion term 1784
abbr1785	clinical expansion term 1785
abbr1786	clinical expansion term 1786
abbr1787	clinical expansion term 1787
abbr1788	clinical expansion term 1788
abbr1789	clinical expansion term 1789
abbr1790	clinical expansion term 1790
abbr1791	clinical expansion term 1791
abbr1792	clinical expansion term 1792
abbr1793	clinical expansion term 1793
abbr1794	clinical expansion term 1794
abbr1795	clinical expansion term 1795
abbr1796	clinical expansion term 1796
abbr1797	clinical expansion term 1797
abbr1798	clinical expansion term 1798
abbr1799	clinical expansion term 1799
abbr1800	clinical expansion term 1800
abbr1801	clinical expansion term 1801
abbr1802	clinical expansion term 1802
abbr1803	clinical expansion term 1803
abbr1804	clinical expansion term 1804
abbr1805	clinical expansion term 1805
abbr1806	clinical expansion term 1806
abbr1807	clinical expansion term 1807
abbr1808	clinical expansion term 1808
abbr1809	clinical expansion term 1809
abbr1810	clinical expansion term 1810
abbr1811	clinical expansion term 1811
abbr1812	clinical expansion term 1812
abbr1813	clinical expansion term 1813
abbr1814	clinical expansion term 1814
abbr1815	clinical expansion term 1815
abbr1816	clinical expansion term 1816
abbr1817	clinical expansion term 1817
abbr1818	clinical expansion term 1818
abbr1819	clinical expansion term 1819
abbr1820	clinical expansion term 1820
abbr1821	clinical expansion term 1821
abbr1822	clinical expansion term 1822
abbr1823	clinical expansion term 1823
abbr1824	clinical expansion term 1824
abbr1825	clinical expansion term 1825
abbr1826	clinical expansion term 1826
abbr1827	clinical expansion term 1827
abbr1828	clinical expansion term 1828
abbr1829	clinical expansion term 1829
abbr1830	clinical expansion term 1830
abbr1831	clinical expansion term 1831
abbr1832	clinical expansion term 1832
abbr1833	clinical expansion term 1833
abbr1834	clinical expansion term 1834
abbr1835	clinical expansion term 1835
abbr1836	clinical expansion term 1836
abbr1837	clinical expansion term 1837
abbr1838	clinical expansion term 1838
abbr1839	clinical expansion term 1839
abbr1840	clinical expansion term 1840
abbr1841	clinical expansion term 1841
abbr1842	clinical expansion term 1842
abbr1843	clinical expansion term 1843
abbr1844	clinical expansion term 1844
abbr1845	clinical expansion term 1845
abbr1846	clinical expansion term 1846
abbr1847	clinical expansion term 1847
abbr1848	clinical expansion term 1848
abbr1849	clinical expansion term 1849
abbr1850	clinical expansion term 1850
abbr1851	clinical expansion term 1851
abbr1852	clinical expansion term 1852
abbr1853	clinical expansion term 1853
abbr1854	clinical expansion term 1854
abbr1855	clinical expansion term 1855
abbr1856	clinical expansion term 1856
abbr1857	clinical expansion term 1857
abbr1858	clinical expansion term 1858
abbr1859	clinical expansion term 1859
abbr1860	clinical expansion term 1860
abbr1861	clinical expansion term 1861
abbr1862	clinical expansion term 1862
abbr1863	clinical expansion term 1863
abbr1864	clinical expansion term 1864
abbr1865	clinical expansion term 1865
abbr1866	clinical expansion term 1866
abbr1867	clinical expansion term 1867
abbr1868	clinical expansion term 1868
abbr1869	clinical expansion term 1869
abbr1870	clinical expansion term 1870
abbr1871	clinical expansion term 1871
abbr1872	clinical expansion term 1872
abbr1873	clinical expansion term 1873
abbr1874	clinical expansion term 1874
abbr1875	clinical expansion term 1875
abbr1876	clinical expansion term 1876
abbr1877	clinical expansion term 1877
abbr1878	clinical expansion term 1878
abbr1879	clinical expansion term 1879
abbr1880	clinical expansion term 1880
abbr1881	clinical expansion term 1881
abbr1882	clinical expansion term 1882
abbr1883	clinical expansion term 1883
abbr1884	clinical expansion term 1884
abbr1885	clinical expansion term 1885
abbr1886	clinical expansion term 1886
abbr1887	clinical expansion term 1887
abbr1888	clinical expansion term 1888
abbr1889	clinical expansion term 1889
abbr1890	clinical expansion term 1890
abbr1891	clinical expansion term 1891
abbr1892	clinical expansion term 1892
abbr1893	clinical expansion term 1893
abbr1894	clinical expansion term 1894
abbr1895	clinical expansion term 1895
abbr1896	clinical expansion term 1896
abbr1897	clinical expansion term 1897
abbr1898	clinical expansion term 1898
abbr1899	clinical expansion term 1899
abbr1900	clinical expansion term 1900
abbr1901	clinical expansion term 1901
abbr1902	clinical expansion term 1902
abbr1903	clinical expansion term 1903
abbr1904	clinical expansion term 1904
abbr1905	clinical expansion term 1905
abbr1906	clinical expansion term 1906
abbr1907	clinical expansion term 1907
abbr1908	clinical expansion term 1908
abbr1909	clinical expansion term 1909
abbr1910	clinical expansion term 1910
abbr1911	clinical expansion term 1911
abbr1912	clinical expansion term 1912
abbr1913	clinical expansion term 1913
abbr1914	clinical expansion term 1914
abbr1915	clinical expansion term 1915
abbr1916	clinical expansion term 1916
abbr1917	clinical expansion term 1917
abbr1918	clinical expansion term 1918
abbr1919	clinical expansion term 1919
abbr1920	clinical expansion term 1920
abbr1921	clinical expansion term 1921
abbr1922	clinical expansion term 1922
abbr1923	clinical expansion term 1923
abbr1924	clinical expansion term 1924
abbr1925	clinical expansion term 1925
abbr1926	clinical expansion term 1926
abbr1927	clinical expansion term 1927
abbr1928	clinical expansion term 1928
abbr1929	clinical expansion term 1929
abbr1930	clinical expansion term 1930
abbr1931	clinical expansion term 1931
abbr1932	clinical expansion term 1932
abbr1933	clinical expansion term 1933
abbr1934	clinical expansion term 1934
abbr1935	clinical expansion term 1935
abbr1936	clinical expansion term 1936
abbr1937	clinical expansion term 1937
abbr1938	clinical expansion term 1938
abbr1939	clinical expansion term 1939
abbr1940	clinical expansion term 1940
abbr1941	clinical expansion term 1941
abbr1942	clinical expansion term 1942
abbr1943	clinical expansion term 1943
abbr1944	clinical expansion term 1944
abbr1945	clinical expansion term 1945
abbr1946	clinical expansion term 1946
abbr1947	clinical expansion term 1947
abbr1948	clinical expansion term 1948
abbr1949	clinical expansion term 1949
abbr1950	clinical expansion term 1950
abbr1951	clinical expansion term 1951
abbr1952	clinical expansion term 1952
abbr1953	clinical expansion term 1953
abbr1954	clinical expansion term 1954
abbr1955	clinical expansion term 1955
abbr1956	clinical expansion term 1956
abbr1957	clinical expansion term 1957
abbr1958	clinical expansion term 1958
abbr1959	clinical expansion term 1959
abbr1960	clinical expansion term 1960
abbr1961	clinical expansion term 1961
abbr1962	clinical expansion term 1962
abbr1963	clinical expansion term 1963
abbr1964	clinical expansion term 1964
abbr1965	clinical expansion term 1965
abbr1966	clinical expansion term 1966
abbr1967	clinical expansion term 1967
abbr1968	clinical expansion term 1968
abbr1969	clinical expansion term 1969
abbr1970	clinical expansion term 1970
abbr1971	clinical expansion term 1971
abbr1972	clinical expansion term 1972
abbr1973	clinical expansion term 1973
abbr1974	clinical expansion term 1974
abbr1975	clinical expansion term 1975
abbr1976	clinical expansion term 1976
abbr1977	clinical expansion term 1977
abbr1978	clinical expansion term 1978
abbr1979	clinical expansion term 1979
abbr1980	clinical expansion term 1980
abbr1981	clinical expansion term 1981
abbr1982	clinical expansion term 1982
abbr1983	clinical expansion term 1983
abbr1984	clinical expansion term 1984
abbr1985	clinical expansion term 1985
abbr1986	clinical expansion term 1986
abbr1987	clinical expansion term 1987
abbr1988	clinical expansion term 1988
abbr1989	clinical expansion term 1989
abbr1990	clinical expansion term 1990
abbr1991	clinical expansion term 1991
abbr1992	clinical expansion term 1992
abbr1993	clinical expansion term 1993
abbr1994	clinical expansion term 1994
abbr1995	clinical expansion term 1995
abbr1996	clinical expansion term 1996
abbr1997	clinical expansion term 1997
abbr1998	clinical expansion term 1998
abbr1999	clinical expansion term 1999
abbr2000	clinical expansion term 2000
abbr2001	clinical expansion term 2001
abbr2002	clinical expansion term 2002
abbr2003	clinical expansion term 2003
abbr2004	clinical expansion term 2004
abbr2005	clinical expansion term 2005
abbr2006	clinical expansion term 2006
abbr2007	clinical expansion term 2007
abbr2008	clinical expansion term 2008
abbr2009	clinical expansion term 2009
abbr2010	clinical expansion term 2010
abbr2011	clinical expansion term 2011
abbr2012	clinical expansion term 2012
abbr2013	clinical expansion term 2013
abbr2014	clinical expansion term 2014
abbr2015	clinical expansion term 2015
abbr2016	clinical expansion term 2016
abbr2017	clinical expansion term 2017
abbr2018	clinical expansion term 2018
abbr2019	clinical expansion term 2019
abbr2020	clinical expansion term 2020
abbr2021	clinical expansion term 2021
abbr2022	clinical expansion term 2022
abbr2023	clinical expansion term 2023
abbr2024	clinical expansion term 2024
abbr2025	clinical expansion term 2025
abbr2026	clinical expansion term 2026
abbr2027	clinical expansion term 2027
abbr2028	clinical expansion term 2028
abbr2029	clinical expansion term 2029
abbr2030	clinical expansion term 2030
abbr2031	clinical expansion term 2031
abbr2032	clinical expansion term 2032
abbr2033	clinical expansion term 2033
abbr2034	clinical expansion term 2034
abbr2035	clinical expansion term 2035
abbr2036	clinical expansion term 2036
abbr2037	clinical expansion term 2037
abbr2038	clinical expansion term 2038
abbr2039	clinical expansion term 2039
abbr2040	clinical expansion term 2040
abbr2041	clinical expansion term 2041
abbr2042	clinical expansion term 2042
abbr2043	clinical expansion term 2043
abbr2044	clinical expansion term 2044
abbr2045	clinical expansion term 2045
abbr2046	clinical expansion term 2046
abbr2047	clinical expansion term 2047
abbr2048	clinical expansion term 2048
abbr2049	clinical expansion term 2049
abbr2050	clinical expansion term 2050
abbr2051	clinical expansion term 2051
abbr2052	clinical expansion term 2052
abbr2053	clinical expansion term 2053
abbr2054	clinical expansion term 2054
abbr2055	clinical expansion term 2055
abbr2056	clinical expansion term 2056
abbr2057	clinical expansion term 2057
abbr2058	clinical expansion term 2058
abbr2059	clinical expansion term 2059
abbr2060	clinical expansion term 2060
abbr2061	clinical expansion term 2061
abbr2062	clinical expansion term 2062
abbr2063	clinical expansion term 2063
abbr2064	clinical expansion term 2064
abbr2065	clinical expansion term 2065
abbr2066	clinical expansion term 2066
abbr2067	clinical expansion term 2067
abbr2068	clinical expansion term 2068
abbr2069	clinical expansion term 2069
abbr2070	clinical expansion term 2070
abbr2071	clinical expansion term 2071
abbr2072	clinical expansion term 2072
abbr2073	clinical expansion term 2073
abbr2074	clinical expansion term 2074
abbr2075	clinical expansion term 2075
abbr2076	clinical expansion term 2076
abbr2077	clinical expansion term 2077
abbr2078	clinical expansion term 2078
abbr2079	clinical expansion term 2079
abbr2080	clinical expansion term 2080
abbr2081	clinical expansion term 2081
abbr2082	clinical expansion term 2082
abbr2083	clinical expansion term 2083
abbr2084	clinical expansion term 2084
abbr2085	clinical expansion term 2085
abbr2086	clinical expansion term 2086
abbr2087	clinical expansion term 2087
abbr2088	clinical expansion term 2088
abbr2089	clinical expansion term 2089
abbr2090	clinical expansion term 2090
abbr2091	clinical expansion term 2091
abbr2092	clinical expansion term 2092
abbr2093	clinical expansion term 2093
abbr2094	clinical expansion term 2094
abbr2095	clinical expansion term 2095
abbr2096	clinical expansion term 2096
abbr2097	clinical expansion term 2097
abbr2098	clinical expansion term 2098
abbr2099	clinical expansion term 2099
abbr2100	clinical expansion term 2100
abbr2101	clinical expansion term 2101
abbr2102	clinical expansion term 2102
abbr2103	clinical expansion term 2103
abbr2104	clinical expansion term 2104
abbr2105	clinical expansion term 2105
abbr2106	clinical expansion term 2106
abbr2107	clinical expansion term 2107
abbr2108	clinical expansion term 2108
abbr2109	clinical expansion term 2109
abbr2110	clinical expansion term 2110
abbr2111	clinical expansion term 2111
abbr2112	clinical expansion term 2112
abbr2113	clinical expansion term 2113
abbr2114	clinical expansion term 2114
abbr2115	clinical expansion term 2115
abbr2116	clinical expansion term 2116
abbr2117	clinical expansion term 2117
abbr2118	clinical expansion term 2118
abbr2119	clinical expansion term 2119
abbr2120	clinical expansion term 2120
abbr2121	clinical expansion term 2121
abbr2122	clinical expansion term 2122
abbr2123	clinical expansion term 2123
